"sample"	"distance"	"reads"	"reg"	"fraction"	"fraction2"	"dataset"
"sup45_wt_25C"	-20	124	"Distance from start (nt)"	7.36693897209932e-06	0.000114894176903676	"sup45_25"
"sup45_wt_25C"	-19	228	"Distance from start (nt)"	1.35456619809568e-05	0.00021125703495192	"sup45_25"
"sup45_wt_25C"	-18	123	"Distance from start (nt)"	7.30752817393723e-06	0.000113967610960904	"sup45_25"
"sup45_wt_25C"	-17	132	"Distance from start (nt)"	7.84222535739605e-06	0.000122306704445849	"sup45_25"
"sup45_wt_25C"	-16	431	"Distance from start (nt)"	2.56060540078614e-05	0.000399349921334551	"sup45_25"
"sup45_wt_25C"	-15	206	"Distance from start (nt)"	1.22386244213908e-05	0.000190872584210946	"sup45_25"
"sup45_wt_25C"	-14	172	"Distance from start (nt)"	1.02186572838797e-05	0.000159369342156712	"sup45_25"
"sup45_wt_25C"	-13	352	"Distance from start (nt)"	2.09126009530561e-05	0.000326151211855597	"sup45_25"
"sup45_wt_25C"	-12	187	"Distance from start (nt)"	1.11098192563111e-05	0.000173267831298286	"sup45_25"
"sup45_wt_25C"	-11	176	"Distance from start (nt)"	1.04563004765281e-05	0.000163075605927798	"sup45_25"
"sup45_wt_25C"	-10	262	"Distance from start (nt)"	1.55656291184679e-05	0.000242760277006154	"sup45_25"
"sup45_wt_25C"	-9	150	"Distance from start (nt)"	8.9116197243137e-06	0.000138984891415737	"sup45_25"
"sup45_wt_25C"	-8	155	"Distance from start (nt)"	9.20867371512415e-06	0.000143617721129595	"sup45_25"
"sup45_wt_25C"	-7	292	"Distance from start (nt)"	1.73479530633307e-05	0.000270557255289302	"sup45_25"
"sup45_wt_25C"	-6	148	"Distance from start (nt)"	8.79279812798951e-06	0.000137131759530194	"sup45_25"
"sup45_wt_25C"	-5	176	"Distance from start (nt)"	1.04563004765281e-05	0.000163075605927798	"sup45_25"
"sup45_wt_25C"	-4	275	"Distance from start (nt)"	1.63379694945751e-05	0.000254805634262185	"sup45_25"
"sup45_wt_25C"	-3	193	"Distance from start (nt)"	1.14662840452836e-05	0.000178827226954915	"sup45_25"
"sup45_wt_25C"	-2	850	"Distance from start (nt)"	5.04991784377776e-05	0.000787581051355844	"sup45_25"
"sup45_wt_25C"	-1	12227	"Distance from start (nt)"	0.00072641582912789	0.0113291217822681	"sup45_25"
