"sample"	"psite_region"	"frame"	"count"	"sum"	"fraction"	"dataset"
"sup45_ts_25C_rep1"	"3utr_distal"	0	1882	7662	0.245627773427304	"sup45-ts"
"sup45_ts_25C_rep1"	"3utr_distal"	1	2761	7662	0.360349778125816	"sup45-ts"
"sup45_ts_25C_rep1"	"3utr_distal"	2	3019	7662	0.394022448446881	"sup45-ts"
"sup45_ts_25C_rep1"	"3utr_extension"	0	10476	24861	0.421382888862073	"sup45-ts"
"sup45_ts_25C_rep1"	"3utr_extension"	1	7820	24861	0.314548891838623	"sup45-ts"
"sup45_ts_25C_rep1"	"3utr_extension"	2	6565	24861	0.264068219299304	"sup45-ts"
"sup45_ts_25C_rep1"	"5utr"	0	3543	26705	0.132671784310054	"sup45-ts"
"sup45_ts_25C_rep1"	"5utr"	1	5853	26705	0.219172439618049	"sup45-ts"
"sup45_ts_25C_rep1"	"5utr"	2	17309	26705	0.648155776071897	"sup45-ts"
"sup45_ts_25C_rep1"	"cds"	0	11687260	18334971	0.637429969210205	"sup45-ts"
"sup45_ts_25C_rep1"	"cds"	1	2831006	18334971	0.154404716538684	"sup45-ts"
"sup45_ts_25C_rep1"	"cds"	2	3816705	18334971	0.208165314251111	"sup45-ts"
"sup45_ts_37C_rep1"	"3utr_distal"	0	203773	665533	0.306180159360993	"sup45-ts"
"sup45_ts_37C_rep1"	"3utr_distal"	1	250102	665533	0.37579203435442	"sup45-ts"
"sup45_ts_37C_rep1"	"3utr_distal"	2	211658	665533	0.318027806284587	"sup45-ts"
"sup45_ts_37C_rep1"	"3utr_extension"	0	200376	452216	0.443097988571833	"sup45-ts"
"sup45_ts_37C_rep1"	"3utr_extension"	1	119344	452216	0.263909282289879	"sup45-ts"
"sup45_ts_37C_rep1"	"3utr_extension"	2	132496	452216	0.292992729138288	"sup45-ts"
"sup45_ts_37C_rep1"	"5utr"	0	66585	353237	0.18849950599739	"sup45-ts"
"sup45_ts_37C_rep1"	"5utr"	1	92138	353237	0.260839040077908	"sup45-ts"
"sup45_ts_37C_rep1"	"5utr"	2	194514	353237	0.550661453924702	"sup45-ts"
