"Sample"	"Resample"	"RMSE"
"sup45_wt_25C"	"Fold1"	0.166333738988398
"sup45_wt_37C"	"Fold1"	0.15140126000889
"sup45_ts_25C"	"Fold1"	0.157496327342902
"sup45_ts_37C"	"Fold1"	0.145545916527877
"sup45_wt"	"Fold1"	0.143863127793434
"sup45_d"	"Fold1"	0.143503748617353
"rli1_wt"	"Fold1"	0.122313840001769
"rli1_d"	"Fold1"	0.101733743291839
"sup45_wt_25C"	"Fold2"	0.151633777364656
"sup45_wt_37C"	"Fold2"	0.152121984680343
"sup45_ts_25C"	"Fold2"	0.152216691087595
"sup45_ts_37C"	"Fold2"	0.139900799832677
"sup45_wt"	"Fold2"	0.147455177313026
"sup45_d"	"Fold2"	0.148514036488973
"rli1_wt"	"Fold2"	0.108983452740508
"rli1_d"	"Fold2"	0.105249530868922
"sup45_wt_25C"	"Fold3"	0.162126321312299
"sup45_wt_37C"	"Fold3"	0.155896846756941
"sup45_ts_25C"	"Fold3"	0.151973604835724
"sup45_ts_37C"	"Fold3"	0.141132948092349
"sup45_wt"	"Fold3"	0.141798218103801
"sup45_d"	"Fold3"	0.144741209986216
"rli1_wt"	"Fold3"	0.114428950925661
"rli1_d"	"Fold3"	0.102435723409748
"sup45_wt_25C"	"Fold4"	0.150137048849022
"sup45_wt_37C"	"Fold4"	0.153993804322679
"sup45_ts_25C"	"Fold4"	0.143778467550876
"sup45_ts_37C"	"Fold4"	0.14720657240216
"sup45_wt"	"Fold4"	0.134218336333645
"sup45_d"	"Fold4"	0.140894109662327
"rli1_wt"	"Fold4"	0.11019837864187
"rli1_d"	"Fold4"	0.109654795624377
"sup45_wt_25C"	"Fold5"	0.16408461648756
"sup45_wt_37C"	"Fold5"	0.13840695356594
"sup45_ts_25C"	"Fold5"	0.154321727096347
"sup45_ts_37C"	"Fold5"	0.141710909825629
"sup45_wt"	"Fold5"	0.138472843430423
"sup45_d"	"Fold5"	0.147942863486353
"rli1_wt"	"Fold5"	0.102759128401424
"rli1_d"	"Fold5"	0.112950809707597
