"sample"	"ROC"	"Resample"
"sup45_wt_25C"	0.8464	"Fold3"
"sup45_wt_25C"	0.6984	"Fold2"
"sup45_wt_25C"	0.8424	"Fold5"
"sup45_wt_25C"	0.6104	"Fold1"
"sup45_wt_25C"	0.7848	"Fold4"
"sup45_wt_37C"	0.698961937716263	"Fold3"
"sup45_wt_37C"	0.764705882352941	"Fold2"
"sup45_wt_37C"	0.794117647058824	"Fold5"
"sup45_wt_37C"	0.740484429065744	"Fold1"
"sup45_wt_37C"	0.70242214532872	"Fold4"
"sup45_ts_25C"	0.882621951219512	"Fold4"
"sup45_ts_25C"	0.713125	"Fold3"
"sup45_ts_25C"	0.6971875	"Fold2"
"sup45_ts_25C"	0.776524390243903	"Fold5"
"sup45_ts_25C"	0.707911957168352	"Fold1"
"sup45_ts_37C"	0.744774774774775	"Fold3"
"sup45_ts_37C"	0.776486486486487	"Fold2"
"sup45_ts_37C"	0.775945945945946	"Fold5"
"sup45_ts_37C"	0.7216	"Fold1"
"sup45_ts_37C"	0.801711711711712	"Fold4"
"sup45_wt"	0.719540229885058	"Fold3"
"sup45_wt"	0.887356321839081	"Fold5"
"sup45_wt"	0.791914387633769	"Fold2"
"sup45_wt"	0.762068965517241	"Fold4"
"sup45_wt"	0.745977011494253	"Fold1"
"sup45_d"	0.81640625	"Fold3"
"sup45_d"	0.827524038461538	"Fold2"
"sup45_d"	0.889704142011834	"Fold5"
"sup45_d"	0.779927884615385	"Fold1"
"sup45_d"	0.81201171875	"Fold4"
"rli1_wt"	0.666454081632653	"Fold3"
"rli1_wt"	0.734605911330049	"Fold5"
"rli1_wt"	0.657525510204082	"Fold2"
"rli1_wt"	0.811224489795918	"Fold4"
"rli1_wt"	0.758004926108374	"Fold1"
"rli1_d"	0.740972222222222	"Fold3"
"rli1_d"	0.822950819672131	"Fold2"
"rli1_d"	0.728055555555556	"Fold5"
"rli1_d"	0.750136612021858	"Fold1"
"rli1_d"	0.779027777777778	"Fold4"
