"gene"	"sample"	"ptc_re"	"rep"
"ade2-1"	"SUP45, 25 °C"	0.0032117695814339	"rep1"
"ade2-1"	"SUP45, 25 °C"	0.00488188976377953	"rep2"
"can1-100"	"SUP45, 25 °C"	0.00605272596843616	"rep1"
"can1-100"	"SUP45, 25 °C"	0	"rep2"
"ade2-1"	"sup45-ts, 25 °C"	0.00554760200429492	"rep1"
"ade2-1"	"sup45-ts, 25 °C"	0.00488188976377953	"rep2"
"can1-100"	"sup45-ts, 25 °C"	0.0159078054298643	"rep1"
"can1-100"	"sup45-ts, 25 °C"	0.00344669117647059	"rep2"
"ade2-1"	"SUP45, 37 °C"	0.0032985741647159	"rep1"
"ade2-1"	"SUP45, 37 °C"	0.00232470941132358	"rep2"
"can1-100"	"SUP45, 37 °C"	0.00168817527010804	"rep1"
"can1-100"	"SUP45, 37 °C"	0.00116507870753935	"rep2"
"ade2-1"	"sup45-ts, 37 °C"	0.0829734452836253	"rep1"
"ade2-1"	"sup45-ts, 37 °C"	0.0942464986707033	"rep2"
"can1-100"	"sup45-ts, 37 °C"	0.164893358005454	"rep1"
"can1-100"	"sup45-ts, 37 °C"	0.335895721925134	"rep2"
