length	total_percentage	start_percentage	around_start	offset_from_5	offset_from_3	corrected_offset_from_5	corrected_offset_from_3	sample
15	0.027	0.003	TRUE	2	12	6	8	RLI1_WT_309
16	0.062	0.015	TRUE	12	3	4	11	RLI1_WT_309
17	0.107	0.053	TRUE	1	15	4	12	RLI1_WT_309
18	0.187	0.184	TRUE	2	15	2	15	RLI1_WT_309
19	0.347	0.374	TRUE	3	15	3	15	RLI1_WT_309
20	0.512	0.8	TRUE	4	15	4	15	RLI1_WT_309
21	0.899	1.443	TRUE	5	15	5	15	RLI1_WT_309
22	1.601	1.668	TRUE	6	15	6	15	RLI1_WT_309
23	2.51	2.147	TRUE	7	15	7	15	RLI1_WT_309
24	2.948	2.809	TRUE	8	15	8	15	RLI1_WT_309
25	2.862	2.649	TRUE	9	15	9	15	RLI1_WT_309
26	2.866	2.721	TRUE	10	15	10	15	RLI1_WT_309
27	4.238	3.808	TRUE	11	15	11	15	RLI1_WT_309
28	15.541	16.994	TRUE	12	15	12	15	RLI1_WT_309
29	26.177	24.925	TRUE	13	15	13	15	RLI1_WT_309
30	23.325	23.104	TRUE	14	15	14	15	RLI1_WT_309
31	10.744	11.347	TRUE	13	17	14	16	RLI1_WT_309
32	3.864	4.071	TRUE	14	17	14	17	RLI1_WT_309
33	0.842	0.756	TRUE	14	18	14	18	RLI1_WT_309
34	0.148	0.103	TRUE	15	18	18	15	RLI1_WT_309
35	0.07	0.017	TRUE	14	20	19	15	RLI1_WT_309
36	0.097	0.006	TRUE	20	15	20	15	RLI1_WT_309
37	0.022	0.003	TRUE	21	15	21	15	RLI1_WT_309
38	0.003	0	TRUE	16	21	22	15	RLI1_WT_309
39	0.001	0	FALSE	NA	NA	23	15	RLI1_WT_309
40	0	0	FALSE	NA	NA	24	15	RLI1_WT_309
41	0	0	FALSE	NA	NA	25	15	RLI1_WT_309
42	0	0	FALSE	NA	NA	26	15	RLI1_WT_309
43	0	0	TRUE	5	37	27	15	RLI1_WT_309
44	0	0	FALSE	NA	NA	28	15	RLI1_WT_309
45	0	0	FALSE	NA	NA	29	15	RLI1_WT_309
46	0	0.001	TRUE	18	27	30	15	RLI1_WT_309
47	0	0	FALSE	NA	NA	31	15	RLI1_WT_309
48	0	0	TRUE	32	15	32	15	RLI1_WT_309
15	0.878	0.018	TRUE	12	2	3	11	RLI1_WT_310
16	0.386	0.054	TRUE	3	12	3	12	RLI1_WT_310
