length	total_percentage	start_percentage	around_start	offset_from_5	offset_from_3	corrected_offset_from_5	corrected_offset_from_3	sample
15	0.003	0.001	TRUE	10	4	-1	15	SUP45_WT_903
16	0.059	0.025	TRUE	3	12	3	12	SUP45_WT_903
17	0.242	0.178	TRUE	12	4	3	13	SUP45_WT_903
18	0.531	0.797	TRUE	2	15	2	15	SUP45_WT_903
19	0.918	1.628	TRUE	12	6	3	15	SUP45_WT_903
20	1.199	2.589	TRUE	12	7	13	6	SUP45_WT_903
21	1.803	3.566	TRUE	12	8	14	6	SUP45_WT_903
22	1.689	2.263	TRUE	13	8	15	6	SUP45_WT_903
23	1.144	1.487	TRUE	4	18	16	6	SUP45_WT_903
24	1.25	1.669	TRUE	8	15	8	15	SUP45_WT_903
25	1.64	1.721	TRUE	9	15	9	15	SUP45_WT_903
26	2.038	2.055	TRUE	10	15	10	15	SUP45_WT_903
27	6.609	6.485	TRUE	11	15	11	15	SUP45_WT_903
28	32.756	32.618	TRUE	12	15	12	15	SUP45_WT_903
29	33.111	28.922	TRUE	10	18	13	15	SUP45_WT_903
30	12.6	11.722	TRUE	5	24	14	15	SUP45_WT_903
31	1.981	1.969	TRUE	5	25	14	16	SUP45_WT_903
32	0.264	0.241	TRUE	14	17	14	17	SUP45_WT_903
33	0.09	0.043	TRUE	14	18	14	18	SUP45_WT_903
34	0.024	0.012	TRUE	15	18	17	16	SUP45_WT_903
35	0.014	0.005	TRUE	11	23	19	15	SUP45_WT_903
36	0.028	0.001	TRUE	5	30	8	27	SUP45_WT_903
37	0.004	0.001	TRUE	16	20	16	20	SUP45_WT_903
38	0	0	TRUE	22	15	22	15	SUP45_WT_903
39	0	0	FALSE	NA	NA	23	15	SUP45_WT_903
40	0	0	TRUE	27	12	24	15	SUP45_WT_903
41	0	0	FALSE	NA	NA	25	15	SUP45_WT_903
42	0	0.001	TRUE	37	4	26	15	SUP45_WT_903
43	0	0	FALSE	NA	NA	27	15	SUP45_WT_903
44	0	0	TRUE	15	28	28	15	SUP45_WT_903
45	0	0	FALSE	NA	NA	29	15	SUP45_WT_903
46	0	0	TRUE	21	24	30	15	SUP45_WT_903
47	0	0	FALSE	NA	NA	31	15	SUP45_WT_903
15	0.349	0.15	TRUE	9	5	2	12	SUP45_WT_904
16	0.587	0.725	TRUE	3	12	3	12	SUP45_WT_904
17	0.581	2.723	TRUE	12	4	3	13	SUP45_WT_904
18	0.6	3.555	TRUE	12	5	2	15	SUP45_WT_904
19	0.857	4.407	TRUE	12	6	3	15	SUP45_WT_904
20	1.014	3.067	TRUE	13	6	13	6	SUP45_WT_904
21	1.258	1.704	TRUE	13	7	14	6	SUP45_WT_904
22	0.994	0.815	TRUE	3	18	15	6	SUP45_WT_904
23	0.723	0.772	TRUE	4	18	16	6	SUP45_WT_904
24	1.052	1.194	TRUE	5	18	8	15	SUP45_WT_904
25	1.649	1.214	TRUE	3	21	9	15	SUP45_WT_904
26	2.571	2.096	TRUE	4	21	10	15	SUP45_WT_904
27	10.395	8.713	TRUE	11	15	11	15	SUP45_WT_904
28	38.222	37.123	TRUE	12	15	12	15	SUP45_WT_904
29	31.535	25.36	TRUE	10	18	13	15	SUP45_WT_904
30	6.864	5.688	TRUE	11	18	14	15	SUP45_WT_904
31	0.643	0.616	TRUE	28	2	15	15	SUP45_WT_904
32	0.052	0.064	TRUE	10	21	16	15	SUP45_WT_904
33	0.029	0.011	TRUE	11	21	14	18	SUP45_WT_904
34	0.01	0.003	TRUE	15	18	19	14	SUP45_WT_904
35	0.005	0.001	TRUE	21	13	19	15	SUP45_WT_904
36	0.007	0	FALSE	NA	NA	20	15	SUP45_WT_904
37	0	0	FALSE	NA	NA	21	15	SUP45_WT_904
