length	total_percentage	start_percentage	around_start	offset_from_5	offset_from_3	corrected_offset_from_5	corrected_offset_from_3	sample
15	2.314	0.532	TRUE	7	7	7	7	MA25
16	2.352	0.838	TRUE	7	8	7	8	MA25
17	2.124	0.814	TRUE	8	8	8	8	MA25
18	2.152	1.145	TRUE	12	5	12	5	MA25
19	2.459	1.859	TRUE	13	5	13	5	MA25
20	5.376	3.7	TRUE	12	7	12	7	MA25
21	13.992	8.51	TRUE	12	8	12	8	MA25
22	17.639	11.637	TRUE	13	8	13	8	MA25
23	7.588	7.317	TRUE	13	9	14	8	MA25
24	2.201	3.628	TRUE	14	9	14	9	MA25
25	1.378	2.475	TRUE	7	17	7	17	MA25
26	1.214	1.933	TRUE	9	16	9	16	MA25
27	1.6	2.214	TRUE	11	15	11	15	MA25
28	4.286	5.704	TRUE	12	15	12	15	MA25
29	9.314	11.795	TRUE	13	15	13	15	MA25
30	9.917	14.309	TRUE	13	16	13	16	MA25
31	7.572	12.131	TRUE	13	17	13	17	MA25
32	4.198	6.874	TRUE	13	18	13	18	MA25
33	1.229	2.107	TRUE	14	18	14	18	MA25
34	0.226	0.297	TRUE	15	18	15	18	MA25
35	0.085	0.041	TRUE	14	20	14	20	MA25
36	0.062	0.015	TRUE	18	17	18	17	MA25
37	0.054	0.016	TRUE	15	21	15	21	MA25
38	0.047	0.017	TRUE	19	18	19	18	MA25
39	0.045	0.012	TRUE	25	13	25	13	MA25
40	0.037	0.011	TRUE	21	18	21	18	MA25
41	0.031	0.008	TRUE	10	30	10	30	MA25
42	0.028	0.007	TRUE	17	24	17	24	MA25
43	0.024	0.005	TRUE	13	29	13	29	MA25
44	0.02	0.006	TRUE	13	30	13	30	MA25
45	0.02	0.002	TRUE	30	14	30	14	MA25
46	0.018	0.003	TRUE	35	10	35	10	MA25
47	0.015	0.002	TRUE	29	17	29	17	MA25
48	0.016	0.001	TRUE	37	10	37	10	MA25
49	0.014	0	FALSE	NA	NA	NA	NA	MA25
50	0.014	0.002	TRUE	44	5	44	5	MA25
51	0.015	0.004	TRUE	33	17	33	17	MA25
52	0.017	0.002	TRUE	30	21	30	21	MA25
53	0.02	0.003	TRUE	44	8	44	8	MA25
54	0.034	0.007	TRUE	10	43	10	43	MA25
55	0.039	0	FALSE	NA	NA	NA	NA	MA25
56	0.027	0.001	TRUE	10	45	10	45	MA25
57	0.032	0.001	TRUE	46	10	46	10	MA25
58	0.038	0.005	TRUE	50	7	50	7	MA25
59	0.023	0.004	TRUE	41	17	41	17	MA25
60	0.015	0.002	TRUE	40	19	40	19	MA25
61	0.017	0.002	TRUE	44	16	44	16	MA25
62	0.021	0.002	TRUE	38	23	38	23	MA25
63	0.022	0.002	TRUE	56	6	56	6	MA25
64	0.021	0.002	TRUE	58	5	58	5	MA25
15	2.838	0.664	TRUE	6	8	6	8	MA37
16	3.068	0.853	TRUE	7	8	7	8	MA37
17	2.973	0.925	TRUE	8	8	8	8	MA37
18	2.699	1.266	TRUE	9	8	9	8	MA37
19	2.775	2.331	TRUE	13	5	13	5	MA37
20	5.179	5.248	TRUE	12	7	12	7	MA37
21	13.032	11.975	TRUE	13	7	12	8	MA37
22	17.961	16.627	TRUE	13	8	13	8	MA37
23	9.295	10.339	TRUE	14	8	14	8	MA37
24	2.738	3.954	TRUE	14	9	14	9	MA37
25	1.499	2.098	TRUE	13	11	13	11	MA37
26	1.295	1.724	TRUE	9	16	9	16	MA37
27	1.482	1.81	TRUE	11	15	11	15	MA37
28	2.549	3.305	TRUE	12	15	12	15	MA37
29	5.226	6.883	TRUE	13	15	13	15	MA37
30	6.795	9.764	TRUE	13	16	13	16	MA37
31	6.083	9.279	TRUE	13	17	13	17	MA37
32	4.284	6.604	TRUE	13	18	13	18	MA37
33	2.033	3.087	TRUE	14	18	14	18	MA37
34	0.711	0.706	TRUE	14	19	14	19	MA37
35	0.345	0.108	TRUE	15	19	15	19	MA37
36	0.259	0.03	TRUE	15	20	15	20	MA37
37	0.233	0.024	TRUE	13	23	13	23	MA37
38	0.214	0.021	TRUE	13	24	13	24	MA37
39	0.21	0.017	TRUE	14	24	14	24	MA37
40	0.176	0.014	TRUE	13	26	13	26	MA37
41	0.156	0.016	TRUE	13	27	13	27	MA37
42	0.153	0.013	TRUE	13	28	13	28	MA37
43	0.137	0.013	TRUE	13	29	13	29	MA37
44	0.122	0.01	TRUE	13	30	13	30	MA37
45	0.12	0.009	TRUE	13	31	13	31	MA37
46	0.104	0.009	TRUE	13	32	13	32	MA37
47	0.108	0.006	TRUE	14	32	14	32	MA37
48	0.109	0.007	TRUE	41	6	41	6	MA37
49	0.11	0.009	TRUE	36	12	36	12	MA37
50	0.174	0.022	TRUE	41	8	41	8	MA37
51	0.351	0.049	TRUE	42	8	42	8	MA37
52	0.479	0.056	TRUE	42	9	42	9	MA37
53	0.321	0.03	TRUE	43	9	43	9	MA37
54	0.25	0.021	TRUE	48	5	48	5	MA37
55	0.296	0.021	TRUE	48	6	48	6	MA37
