"transcript"	"l_tr"	"l_utr5"	"l_cds"	"l_utr3"	"nis_pos"
"YAL069W_mRNA"	585	97	312	176	163
"YAL068W-A_mRNA"	525	97	252	176	43
"YAL068C_mRNA"	633	97	360	176	43
"YAL067W-A_mRNA"	498	97	225	176	10
"YAL067C_mRNA"	2052	97	1779	176	82
"YAL066W_mRNA"	579	97	306	176	25
"YAL065C_mRNA"	657	97	384	176	25
"YAL064W-B_mRNA"	651	97	378	176	136
"YAL064C-A_mRNA"	651	97	378	176	22
"YAL064W_mRNA"	555	97	282	176	67
"YAL063C-A_mRNA"	561	97	288	176	127
"YAL063C_mRNA"	4239	97	3966	176	4
"YAL062W_mRNA"	1644	97	1371	176	7
"YAL061W_mRNA"	1524	97	1251	176	7
"YAL060W_mRNA"	1324	58	1146	120	4
"YAL059C-A_mRNA"	693	97	420	176	Inf
"YAL059W_mRNA"	909	97	636	176	16
"YAL058W_mRNA"	1622	54	1506	62	22
"YAL056C-A_mRNA"	621	97	348	176	97
"YAL056W_mRNA"	2913	97	2640	176	43
"YAL055W_mRNA"	650	22	540	88	40
"YAL054C_mRNA"	2412	97	2139	176	4
"YAL053W_mRNA"	2581	148	2349	84	46
"YAL051W_mRNA"	3414	97	3141	176	58
"YAL049C_mRNA"	961	101	738	122	109
"YAL048C_mRNA"	2259	97	1986	176	25
"YAL047W-A_mRNA"	600	97	327	176	37
"YAL047C_mRNA"	1953	29	1866	58	22
"YAL046C_mRNA"	527	48	354	125	43
"YAL045C_mRNA"	579	97	306	176	94
"YAL044W-A_mRNA"	526	39	330	157	10
"YAL044C_mRNA"	635	21	510	104	22
"YAL043C_mRNA"	2480	36	2355	89	Inf
"YAL042C-A_mRNA"	648	97	375	176	76
"YAL042W_mRNA"	1360	29	1245	86	19
"YAL041W_mRNA"	2835	97	2562	176	4
"YAL040C_mRNA"	2013	97	1740	176	64
"YAL039C_mRNA"	935	56	807	72	31
"YAL038W_mRNA"	1778	106	1500	172	19
"YAL037C-B_mRNA"	1245	97	972	176	Inf
"YAL037C-A_mRNA"	363	97	90	176	13
"YAL037W_mRNA"	1074	97	801	176	127
"YAL036C_mRNA"	1380	97	1107	176	19
"YAL035W_mRNA"	3154	43	3006	105	58
"YAL034C-B_mRNA"	624	97	351	176	25
"YAL034W-A_mRNA"	981	23	867	91	Inf
"YAL034C_mRNA"	1983	635	1239	109	25
"YAL033W_mRNA"	624	18	519	87	Inf
"YAL032C_mRNA"	1410	97	1137	176	19
"YAL031W-A_mRNA"	579	97	306	176	Inf
"YAL031C_mRNA"	2553	97	2280	176	16
"YAL030W_mRNA"	523	27	351	145	46
"YAL029C_mRNA"	4686	97	4413	176	166
"YAL028W_mRNA"	1857	97	1584	176	37
"YAL027W_mRNA"	1056	97	783	176	28
"YAL026C-A_mRNA"	708	97	435	176	94
"YAL026C_mRNA"	4338	97	4065	176	43
"YAL025C_mRNA"	1117	29	918	170	52
"YAL024C_mRNA"	4578	97	4305	176	Inf
"YAL023C_mRNA"	2509	120	2277	112	28
"YAL022C_mRNA"	1629	33	1551	45	Inf
"YAL021C_mRNA"	2822	73	2511	238	229
"YAL020C_mRNA"	1272	97	999	176	7
"YAL019W-A_mRNA"	840	97	567	176	Inf
"YAL019W_mRNA"	3666	97	3393	176	28
"YAL018C_mRNA"	1248	97	975	176	37
"YAL017W_mRNA"	4341	97	4068	176	118
"YAL016C-B_mRNA"	456	97	183	176	172
"YAL016C-A_mRNA"	585	97	312	176	76
"YAL016W_mRNA"	2084	97	1905	82	7
"YAL015C_mRNA"	1470	97	1197	176	10
"YAL014C_mRNA"	1038	97	765	176	46
"YAL013W_mRNA"	1488	97	1215	176	55
"YAL012W_mRNA"	1394	105	1182	107	73
"YAL011W_mRNA"	1979	4	1875	100	40
"YAL010C_mRNA"	1624	41	1479	104	4
"YAL009W_mRNA"	1050	97	777	176	31
"YAL008W_mRNA"	828	99	594	135	100
"YAL007C_mRNA"	853	75	645	133	52
"YAL005C_mRNA"	2131	62	1926	143	22
"YAL004W_mRNA"	918	97	645	176	22
"YAL003W_mRNA"	886	52	618	216	16
"YAL002W_mRNA"	4095	97	3822	176	10
"YAL001C_mRNA"	3753	97	3480	176	4
"YAR002W_mRNA"	1775	42	1617	116	4
"YAR002C-A_mRNA"	800	74	657	69	10
"YAR003W_mRNA"	1866	90	1278	498	28
"YAR007C_mRNA"	1986	70	1863	53	13
"YAR008W_mRNA"	1039	114	825	100	52
