transcript	l_tr	l_utr5	l_cds	l_utr3
YAL001C_mRNA	3753	97	3480	176
YAL002W_mRNA	4095	97	3822	176
YAL003W_mRNA	886	52	618	216
YAL004W_mRNA	918	97	645	176
YAL005C_mRNA	2131	62	1926	143
YAL007C_mRNA	853	75	645	133
YAL008W_mRNA	828	99	594	135
YAL009W_mRNA	1050	97	777	176
YAL010C_mRNA	1624	41	1479	104
YAL011W_mRNA	1979	4	1875	100
YAL012W_mRNA	1394	105	1182	107
YAL013W_mRNA	1488	97	1215	176
YAL014C_mRNA	1038	97	765	176
YAL015C_mRNA	1470	97	1197	176
YAL016C-A_mRNA	585	97	312	176
YAL016C-B_mRNA	456	97	183	176
YAL016W_mRNA	2084	97	1905	82
YAL017W_mRNA	4341	97	4068	176
YAL018C_mRNA	1248	97	975	176
YAL019W_mRNA	3666	97	3393	176
YAL019W-A_mRNA	840	97	567	176
YAL020C_mRNA	1272	97	999	176
YAL021C_mRNA	2822	73	2511	238
YAL022C_mRNA	1629	33	1551	45
YAL023C_mRNA	2509	120	2277	112
YAL024C_mRNA	4578	97	4305	176
YAL025C_mRNA	1117	29	918	170
YAL026C_mRNA	4338	97	4065	176
YAL026C-A_mRNA	708	97	435	176
YAL027W_mRNA	1056	97	783	176
YAL028W_mRNA	1857	97	1584	176
YAL029C_mRNA	4686	97	4413	176
YAL030W_mRNA	523	27	351	145
YAL031C_mRNA	2553	97	2280	176
YAL031W-A_mRNA	579	97	306	176
YAL032C_mRNA	1410	97	1137	176
YAL033W_mRNA	624	18	519	87
YAL034C_mRNA	1983	635	1239	109
YAL034C-B_mRNA	624	97	351	176
YAL034W-A_mRNA	981	23	867	91
YAL035W_mRNA	3154	43	3006	105
YAL036C_mRNA	1380	97	1107	176
YAL037C-A_mRNA	363	97	90	176
YAL037C-B_mRNA	1245	97	972	176
YAL037W_mRNA	1074	97	801	176
YAL038W_mRNA	1778	106	1500	172
YAL039C_mRNA	935	56	807	72
YAL040C_mRNA	2013	97	1740	176
YAL041W_mRNA	2835	97	2562	176
YAL042C-A_mRNA	648	97	375	176
YAL042W_mRNA	1360	29	1245	86
YAL043C_mRNA	2480	36	2355	89
YAL044C_mRNA	635	21	510	104
YAL044W-A_mRNA	526	39	330	157
YAL045C_mRNA	579	97	306	176
YAL046C_mRNA	527	48	354	125
YAL047C_mRNA	1953	29	1866	58
YAL047W-A_mRNA	600	97	327	176
YAL048C_mRNA	2259	97	1986	176
YAL049C_mRNA	961	101	738	122
YAL051W_mRNA	3414	97	3141	176
YAL053W_mRNA	2581	148	2349	84
YAL054C_mRNA	2412	97	2139	176
YAL055W_mRNA	650	22	540	88
YAL056C-A_mRNA	621	97	348	176
YAL056W_mRNA	2913	97	2640	176
YAL058W_mRNA	1622	54	1506	62
YAL059C-A_mRNA	693	97	420	176
YAL059W_mRNA	909	97	636	176
YAL060W_mRNA	1324	58	1146	120
YAL061W_mRNA	1524	97	1251	176
YAL062W_mRNA	1644	97	1371	176
YAL063C_mRNA	4239	97	3966	176
YAL063C-A_mRNA	561	97	288	176
YAL064C-A_mRNA	651	97	378	176
YAL064W_mRNA	555	97	282	176
YAL064W-B_mRNA	651	97	378	176
YAL065C_mRNA	657	97	384	176
YAL066W_mRNA	579	97	306	176
YAL067C_mRNA	2052	97	1779	176
YAL067W-A_mRNA	498	97	225	176
YAL068C_mRNA	633	97	360	176
YAL068W-A_mRNA	525	97	252	176
YAL069W_mRNA	585	97	312	176
YAR002C-A_mRNA	800	74	657	69
YAR002W_mRNA	1775	42	1617	116
YAR003W_mRNA	1866	90	1278	498
YAR007C_mRNA	1986	70	1863	53
YAR008W_mRNA	1039	114	825	100
YAR009C_mRNA	3861	97	3588	176
YAR010C_mRNA	1593	97	1320	176
YAR014C_mRNA	2400	97	2127	176
YAR015W_mRNA	1137	116	918	103
YAR018C_mRNA	1578	97	1305	176
YAR019C_mRNA	3195	97	2922	176
YAR019W-A_mRNA	603	97	330	176
YAR020C_mRNA	438	97	165	176
YAR023C_mRNA	810	97	537	176
YAR027W_mRNA	968	82	705	181
YAR028W_mRNA	954	51	702	201
YAR029W_mRNA	495	97	222	176
YAR030C_mRNA	612	97	339	176
YAR031W_mRNA	1167	97	894	176
YAR033W_mRNA	975	97	702	176
YAR035C-A_mRNA	351	97	78	176
YAR035W_mRNA	2334	97	2061	176
YAR042W_mRNA	3837	97	3564	176
YAR047C_mRNA	591	97	318	176
YAR050W_mRNA	4884	97	4611	176
YAR053W_mRNA	567	97	294	176
YAR060C_mRNA	606	97	333	176
YAR064W_mRNA	570	97	297	176
YAR066W_mRNA	882	97	609	176
YAR068W_mRNA	756	97	483	176
YAR069C_mRNA	564	97	291	176
YAR070C_mRNA	570	97	297	176
YAR071W_mRNA	1674	97	1401	176
YAR073W_mRNA	1482	97	1209	176
YAR075W_mRNA	744	97	471	176
YBL001C_mRNA	633	70	312	251
YBL002W_mRNA	693	34	393	266
YBL003C_mRNA	652	74	396	182
YBL004W_mRNA	7752	97	7479	176
YBL005W_mRNA	3201	97	2928	176
YBL006C_mRNA	720	21	540	159
YBL006W-A_mRNA	420	97	147	176
YBL007C_mRNA	3946	52	3732	162
YBL008W_mRNA	2793	97	2520	176
YBL008W-A_mRNA	510	97	237	176
YBL009W_mRNA	2301	97	2028	176
YBL010C_mRNA	1071	20	840	211
YBL011W_mRNA	2586	101	2277	208
YBL012C_mRNA	672	97	399	176
YBL013W_mRNA	1476	97	1203	176
YBL014C_mRNA	2834	39	2682	113
YBL015W_mRNA	1851	97	1578	176
YBL016W_mRNA	1332	97	1059	176
YBL017C_mRNA	5010	97	4737	176
YBL018C_mRNA	566	70	399	97
YBL019W_mRNA	1833	97	1560	176
YBL020W_mRNA	1877	72	1722	83
YBL021C_mRNA	638	47	432	159
YBL022C_mRNA	3617	133	3399	85
YBL023C_mRNA	2877	97	2604	176
YBL024W_mRNA	2325	97	2052	176
YBL025W_mRNA	708	97	435	176
YBL026W_mRNA	516	76	285	155
YBL027W_mRNA	770	52	567	151
YBL028C_mRNA	560	47	318	195
YBL029C-A_mRNA	533	125	282	126
YBL029W_mRNA	1401	97	1128	176
YBL030C_mRNA	1379	148	954	277
YBL031W_mRNA	1287	97	1014	176
YBL032W_mRNA	1395	60	1143	192
YBL033C_mRNA	1128	28	1035	65
YBL034C_mRNA	4812	97	4539	176
YBL035C_mRNA	2388	97	2115	176
YBL036C_mRNA	908	13	771	124
YBL037W_mRNA	3348	97	3075	176
YBL038W_mRNA	835	70	696	69
YBL039C_mRNA	2010	97	1737	176
YBL039C-A_mRNA	354	97	81	176
YBL039W-B_mRNA	651	294	177	180
YBL040C_mRNA	780	43	657	80
YBL041W_mRNA	908	41	723	144
YBL042C_mRNA	2165	61	1917	187
YBL043W_mRNA	1044	97	771	176
YBL044W_mRNA	639	97	366	176
YBL045C_mRNA	1644	97	1371	176
YBL046W_mRNA	1596	97	1323	176
YBL047C_mRNA	4416	97	4143	176
YBL048W_mRNA	582	97	309	176
YBL049W_mRNA	687	97	414	176
YBL050W_mRNA	1023	77	876	70
YBL051C_mRNA	2277	97	2004	176
YBL052C_mRNA	2766	97	2493	176
YBL053W_mRNA	645	97	372	176
YBL054W_mRNA	1886	115	1575	196
YBL055C_mRNA	1741	390	1254	97
YBL056W_mRNA	1929	126	1404	399
YBL057C_mRNA	719	25	624	70
YBL058W_mRNA	1423	34	1269	120
YBL059C-A_mRNA	580	32	327	221
YBL059W_mRNA	852	97	579	176
YBL060W_mRNA	2334	97	2061	176
YBL061C_mRNA	2292	109	2088	95
YBL062W_mRNA	651	97	378	176
YBL063W_mRNA	3606	97	3333	176
YBL064C_mRNA	870	32	783	55
YBL065W_mRNA	615	97	342	176
YBL066C_mRNA	3717	97	3444	176
YBL067C_mRNA	2514	97	2241	176
YBL068W_mRNA	1106	42	978	86
YBL068W-A_mRNA	507	97	234	176
YBL069W_mRNA	1560	97	1287	176
YBL070C_mRNA	591	97	318	176
YBL071C_mRNA	579	97	306	176
YBL071C-B_mRNA	369	97	96	176
YBL071W-A_mRNA	543	43	246	254
YBL072C_mRNA	738	104	600	34
YBL073W_mRNA	582	97	309	176
YBL074C_mRNA	1338	97	1065	176
YBL075C_mRNA	2220	97	1947	176
YBL076C_mRNA	3336	16	3216	104
YBL077W_mRNA	702	97	429	176
YBL078C_mRNA	870	44	351	475
